Timestamp,"On a scale of 1-5, how interested are you in a tool that analyzes your academic performance using Generative AI?",Name,Deep Learning,MFDS,Cyber Security,Java,Business Communication,What kind of insights would you find most valuable from a Generative AI academic performance analysis tool? (Select all that apply),How concerned are you about the privacy and security of your academic data when using such a tool?,What features would encourage you to regularly use a Generative AI academic performance tool?,Would you be willing to provide access to your academic marks for analysis by a Generative AI tool?,Status
2025-10-13 15:27:25,4,Vaishali Gupta,39,35,37,48,44,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Pass
2025-10-13 15:27:26,4,Pooja Das,29,33,32,12,5,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:28,4,Sanjay Khanna,15,5,33,22,39,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:30,4,Ishaan Pawar,43,42,1,22,4,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:32,4,Krishna Ghosh,8,39,19,46,6,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:34,4,Riya Khan,21,41,2,30,45,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:36,4,Ved Mehta,39,28,44,38,32,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Pass
2025-10-13 15:27:38,4,Riya Modi,19,7,26,38,30,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:39,4,Riya Ambani,23,9,32,45,47,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:41,4,Neha Pandey,11,8,6,8,35,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:43,4,Dhruv Rao,11,12,32,27,40,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:45,4,Riya Kapoor,24,34,4,27,16,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:47,4,Arjun Khan,36,33,11,34,13,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:49,4,Aisha Gupta,40,48,17,21,50,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 15:27:51,4,Karan Dasgupta,24,23,38,30,42,"Personalized study recommendations, Feedback on essay writing style and content",Very concerned,Career Path Suggestions,"Maybe, with strong privacy assurances",Pass
2025-10-13 16:16:51,3,Aarush Mishra,3,24,24,33,30,Predictions of future performance,Very concerned,Progress Tracking Over Time,"No, I prefer not to share my marks",Fail
2025-10-13 16:16:51,5,Ved Bachchan,22,37,5,28,19,Comparison of your performance with peers (anonymized),Not concerned at all,Progress Tracking Over Time,"Maybe, with strong privacy assurances",Fail
2025-10-13 16:16:52,2,Advait Deshpande,2,35,34,47,17,Identification of weak areas in specific subjects,Very concerned,Progress Tracking Over Time,"Yes, absolutely",Fail
2025-10-13 16:16:52,1,Sahil Nair,24,44,6,33,19,Identification of weak areas in specific subjects,Slightly concerned,Interactive Chat / Follow-up Questions,"No, I prefer not to share my marks",Fail
2025-10-13 16:16:53,3,Sanjay Ghosh,44,40,22,5,28,Predictions of future performance,Moderately concerned,Personalized Goal Setting & Study Plans,"No, I prefer not to share my marks",Fail
2025-10-13 16:16:53,1,Kavya Iyer,30,22,11,48,26,Identification of weak areas in specific subjects,Not concerned at all,Career Path Suggestions,"Maybe, with strong privacy assurances",Fail
2025-10-13 16:16:53,3,Nisha Das,38,27,48,19,37,Predictions of future performance,Very concerned,Personalized Goal Setting & Study Plans,"Yes, absolutely",Fail
2025-10-13 16:16:54,1,Rohan Chopra,2,35,16,4,26,Feedback on essay writing style and content,Very concerned,Progress Tracking Over Time,"No, I prefer not to share my marks",Fail
2025-10-13 16:16:54,3,Shubham Singh,21,1,33,35,23,Identification of weak areas in specific subjects,Moderately concerned,Personalized Goal Setting & Study Plans,"Yes, absolutely",Fail
2025-10-13 16:16:54,1,Simran Patel,33,35,9,49,9,Personalized study recommendations,Slightly concerned,Progress Tracking Over Time,"Yes, absolutely",Fail
2025-10-13 16:16:54,2,Aarav Jain,12,37,6,17,12,Personalized study recommendations,Very concerned,Interactive Chat / Follow-up Questions,"Maybe, with strong privacy assurances",Fail
